SUDT ACCESSPORT LOG FILE - Monitor mode

Monitor: COM1 COM2
Create Time: 2020-01-08, 14:24:00
Computer Name: HC04096
System version:  (Build 9200)

#	Time		Duration (s)	Process		Request                             	Port	Result	Data ( Hex )	

108	14:22:38.575	0.00005800	SmartPack.exe	IRP_MJ_WRITE                        	COM2	SUCCESS	Length: 9, Data: 24 11 01 02 36 36 00 36 23 	
109	14:22:38.651	0.00024120	SmartPack.exe	IRP_MJ_WRITE                        	COM1	SUCCESS	Length: 9, Data: 24 10 01 02 37 36 00 36 23 	
110	14:22:38.651	0.00005520	SmartPack.exe	IRP_MJ_WRITE                        	COM2	SUCCESS	Length: 9, Data: 24 11 01 02 36 36 00 36 23 	
111	14:22:38.684	0.00010030	SmartPack.exe	IRP_MJ_WRITE                        	COM1	SUCCESS	Length: 9, Data: 24 10 01 02 37 36 00 36 23 	
112	14:22:38.684	0.00005220	SmartPack.exe	IRP_MJ_WRITE                        	COM2	SUCCESS	Length: 9, Data: 24 11 01 02 36 36 00 36 23 	
113	14:22:38.733	0.00047870	SmartPack.exe	IRP_MJ_WRITE                        	COM1	SUCCESS	Length: 9, Data: 24 10 01 02 37 36 00 36 23 	
114	14:22:38.733	0.00019000	SmartPack.exe	IRP_MJ_WRITE                        	COM2	SUCCESS	Length: 9, Data: 24 11 01 02 36 36 00 36 23 	
115	14:22:38.783	0.00013280	SmartPack.exe	IRP_MJ_WRITE                        	COM1	SUCCESS	Length: 9, Data: 24 10 01 02 37 36 00 36 23 	
116	14:22:38.784	0.00008880	SmartPack.exe	IRP_MJ_WRITE                        	COM2	SUCCESS	Length: 9, Data: 24 11 01 02 36 36 00 36 23 	
117	14:22:38.825	0.00017090	SmartPack.exe	IRP_MJ_WRITE                        	COM1	SUCCESS	Length: 9, Data: 24 10 01 02 37 36 00 36 23 	
118	14:22:38.828	0.00013020	SmartPack.exe	IRP_MJ_WRITE                        	COM2	SUCCESS	Length: 9, Data: 24 11 01 02 36 36 00 36 23 	
119	14:22:38.875	0.00031150	SmartPack.exe	IRP_MJ_WRITE                        	COM1	SUCCESS	Length: 9, Data: 24 10 01 02 37 36 00 36 23 	
120	14:22:38.875	0.00017090	SmartPack.exe	IRP_MJ_WRITE                        	COM2	SUCCESS	Length: 9, Data: 24 11 01 02 36 36 00 36 23 	
121	14:22:38.925	0.00014580	SmartPack.exe	IRP_MJ_WRITE                        	COM1	SUCCESS	Length: 9, Data: 24 10 01 02 37 36 00 36 23 	
122	14:22:38.925	0.00010390	SmartPack.exe	IRP_MJ_WRITE                        	COM2	SUCCESS	Length: 9, Data: 24 11 01 02 36 36 00 36 23 	
123	14:22:38.975	0.00021050	SmartPack.exe	IRP_MJ_WRITE                        	COM1	SUCCESS	Length: 9, Data: 24 10 01 02 37 36 00 36 23 	
124	14:22:38.979	0.00013650	SmartPack.exe	IRP_MJ_WRITE                        	COM2	SUCCESS	Length: 9, Data: 24 11 01 02 36 36 00 36 23 	
125	14:22:39.025	0.00018790	SmartPack.exe	IRP_MJ_WRITE                        	COM1	SUCCESS	Length: 9, Data: 24 10 01 02 37 36 00 36 23 	
126	14:22:39.027	0.00012120	SmartPack.exe	IRP_MJ_WRITE                        	COM2	SUCCESS	Length: 9, Data: 24 11 01 02 36 36 00 36 23 	
127	14:22:39.075	0.00022680	SmartPack.exe	IRP_MJ_WRITE                        	COM1	SUCCESS	Length: 9, Data: 24 10 01 02 37 36 00 36 23 	
128	14:22:39.076	0.00012520	SmartPack.exe	IRP_MJ_WRITE                        	COM2	SUCCESS	Length: 9, Data: 24 11 01 02 36 36 00 36 23 	
129	14:22:39.125	0.00018150	SmartPack.exe	IRP_MJ_WRITE                        	COM1	SUCCESS	Length: 9, Data: 24 10 01 02 37 36 00 36 23 	
130	14:22:39.126	0.00015090	SmartPack.exe	IRP_MJ_WRITE                        	COM2	SUCCESS	Length: 9, Data: 24 11 01 02 36 36 00 36 23 	
131	14:22:39.175	0.00020160	SmartPack.exe	IRP_MJ_WRITE                        	COM1	SUCCESS	Length: 9, Data: 24 10 01 02 37 36 00 36 23 	
132	14:22:39.176	0.00012190	SmartPack.exe	IRP_MJ_WRITE                        	COM2	SUCCESS	Length: 9, Data: 24 11 01 02 36 36 00 36 23 	
133	14:22:39.225	0.00016690	SmartPack.exe	IRP_MJ_WRITE                        	COM1	SUCCESS	Length: 9, Data: 24 10 01 02 37 36 00 36 23 	
134	14:22:39.226	0.00016720	SmartPack.exe	IRP_MJ_WRITE                        	COM2	SUCCESS	Length: 9, Data: 24 11 01 02 36 36 00 36 23 	
135	14:22:39.275	0.00020150	SmartPack.exe	IRP_MJ_WRITE                        	COM1	SUCCESS	Length: 9, Data: 24 10 01 02 37 36 00 36 23 	
136	14:22:39.276	0.00017990	SmartPack.exe	IRP_MJ_WRITE                        	COM2	SUCCESS	Length: 9, Data: 24 11 01 02 36 36 00 36 23 	
137	14:22:39.325	0.00017140	SmartPack.exe	IRP_MJ_WRITE                        	COM1	SUCCESS	Length: 9, Data: 24 10 01 02 37 36 00 36 23 	
